bertopic_topic_id,sts_topic_id,sentiment_setting,jaccard
0,6,negative,0.15384615384615385
0,6,average,0.5789473684210527
0,6,positive,0.5
1,5,negative,0.2
1,5,average,0.5
1,5,positive,0.25
2,1,negative,0.15384615384615385
2,1,average,0.30434782608695654
2,1,positive,0.30434782608695654
3,4,negative,0.15384615384615385
3,4,average,0.25
3,4,positive,0.25
4,6,negative,0.07142857142857142
4,6,average,0.15384615384615385
4,6,positive,0.2
5,2,negative,0.2
5,2,average,0.42857142857142855
5,2,positive,0.2
6,1,negative,0.034482758620689655
6,1,average,0.15384615384615385
6,1,positive,0.07142857142857142
7,3,negative,0.034482758620689655
7,3,average,0.2
7,3,positive,0.07142857142857142
8,6,negative,0.07142857142857142
8,6,average,0.36363636363636365
8,6,positive,0.1111111111111111
9,3,negative,0.0
9,3,average,0.36363636363636365
9,3,positive,0.1111111111111111
10,2,negative,0.07142857142857142
10,2,average,0.36363636363636365
10,2,positive,0.034482758620689655
11,3,negative,0.07142857142857142
11,3,average,0.25
11,3,positive,0.1111111111111111
12,7,negative,0.07142857142857142
12,7,average,0.25
12,7,positive,0.07142857142857142
13,3,negative,0.07142857142857142
13,3,average,0.25
13,3,positive,0.1111111111111111
14,2,negative,0.07142857142857142
14,2,average,0.1111111111111111
14,2,positive,0.07142857142857142
